user_id,group,order,block,accuracy_abs,accuracy_rela,resptime_abs,resptime_rela,feedback_percent
0,random,1,0,0.7647058823529411,0.0,5.98697109783397,0.0,0.3529411764705882
0,random,1,1,0.8947368421052632,0.1700404858299596,4.947347063767283,-0.1736477455925607,0.5263157894736842
0,random,1,2,0.75,-0.0192307692307691,5.188265872001648,-0.133407229261769,0.6
0,random,1,3,0.9,0.176923076923077,4.892181897163392,-0.1828619485179514,0.5
0,random,1,4,0.8421052631578947,0.1012145748987854,4.9918607536115145,-0.1662126521009057,0.5789473684210527
1,random,0,0,0.8333333333333334,0.0,5.994253317515056,0.0,0.5
1,random,0,1,1.0,0.1999999999999999,5.443188792780826,-0.0919321382571592,0.4736842105263157
1,random,0,2,1.0,0.1999999999999999,5.35817897947211,-0.1061140236073027,0.631578947368421
1,random,0,3,0.9473684210526316,0.1368421052631578,4.645589502234208,-0.2249927962403734,0.631578947368421
1,random,0,4,0.8947368421052632,0.0736842105263157,4.454796000530846,-0.2568221987692703,0.5263157894736842
2,rl,0,0,1.0,0.0,5.837822788640072,0.0,0.631578947368421
2,rl,0,1,0.9444444444444444,-0.0555555555555555,5.72131331761678,-0.0199576923181036,0.1666666666666666
2,rl,0,2,0.9230769230769232,-0.0769230769230768,6.226098390725943,0.0665103440346669,0.4615384615384615
2,rl,0,3,1.0,0.0,5.272161722183228,-0.0968958954282708,0.3333333333333333
2,rl,0,4,1.0,0.0,6.017821364932591,0.0308331689414726,0.5
3,random,1,0,1.0,0.0,4.251766061782837,0.0,0.55
3,random,1,1,1.0,0.0,3.943622148036957,-0.0724743340221944,0.4
3,random,1,2,0.9,-0.0999999999999999,4.757509541511536,0.1189490372658538,0.5
3,random,1,3,0.9,-0.0999999999999999,4.502145433425904,0.0588883226416457,0.65
3,random,1,4,1.0,0.0,4.4274638295173645,0.0413234795097957,0.25
4,rl,1,0,1.0,0.0,5.616222107410431,0.0,0.7
4,rl,1,1,1.0,0.0,6.121780646474738,0.0900175472756388,0.3157894736842105
4,rl,1,2,1.0,0.0,5.878829514980316,0.046758729008132,0.4
4,rl,1,3,0.85,-0.15,6.65636727809906,0.185203710037783,0.45
4,rl,1,4,1.0,0.0,6.266620504856109,0.1158071003971687,0.25
5,random,1,0,0.8333333333333334,0.0,5.156696425543891,0.0,0.5
5,random,1,1,0.95,0.1399999999999999,5.414535629749298,0.050000849948853,0.55
5,random,1,2,0.85,0.0199999999999999,4.831514167785644,-0.0630601902697711,0.45
5,random,1,3,1.0,0.1999999999999999,5.402099026574029,0.0475891114734865,0.3888888888888889
5,random,1,4,0.9444444444444444,0.1333333333333332,4.964497990078396,-0.0372716211319776,0.7777777777777778
6,rl,0,0,0.5882352941176471,0.0,3.8262994429644417,0.0,0.6470588235294118
6,rl,0,1,0.5882352941176471,0.0,3.458299188052907,-0.0961765435238453,0.4705882352941176
6,rl,0,2,0.5263157894736842,-0.1052631578947369,3.7254443168640137,-0.026358398657448,0.4210526315789473
6,rl,0,3,0.5333333333333333,-0.0933333333333333,3.232563622792562,-0.155172335313067,0.4666666666666667
6,rl,0,4,0.5294117647058824,-0.1,3.7195365288678337,-0.0279023938633231,0.4705882352941176
7,random,0,0,1.0,0.0,3.632594309355083,0.0,0.5263157894736842
7,random,0,1,0.8421052631578947,-0.1578947368421053,3.336946863877146,-0.0813874108420396,0.5263157894736842
7,random,0,2,1.0,0.0,3.6208302974700928,-0.0032384601425748,0.2222222222222222
7,random,0,3,0.9375,-0.0625,3.311593219637871,-0.0883668976991273,0.3125
7,random,0,4,0.8421052631578947,-0.1578947368421053,3.5541531035774634,-0.0215937148763375,0.3684210526315789
8,rl,1,0,0.7894736842105263,0.0,5.336887485102603,0.0,0.5789473684210527
8,rl,1,1,1.0,0.2666666666666666,4.511664545536041,-0.1546262576960993,0.35
8,rl,1,2,0.8947368421052632,0.1333333333333333,4.93150984613519,-0.0759576888399812,0.5789473684210527
8,rl,1,3,1.0,0.2666666666666666,4.314942878835342,-0.1914870060723445,0.2941176470588235
8,rl,1,4,0.8947368421052632,0.1333333333333333,5.024479727996023,-0.0585374449018526,0.3684210526315789
11,rl,0,0,0.9473684210526316,0.0,5.074798797306261,0.0,0.631578947368421
11,rl,0,1,1.0,0.0555555555555556,3.713480949401856,-0.2682506050539389,0.3
11,rl,0,2,0.9,-0.0499999999999999,4.864777910709381,-0.0413850666766061,0.45
11,rl,0,3,0.95,0.0027777777777777,5.242695593833924,0.0330844242764428,0.45
11,rl,0,4,1.0,0.0555555555555556,4.802165901660919,-0.0537228975048346,0.4
10,random,0,0,0.5,0.0,2.290734422206879,0.0,0.65
10,random,0,1,0.7058823529411765,0.411764705882353,1.9100966874290917,-0.1661640612232488,0.7058823529411765
10,random,0,2,0.6363636363636364,0.2727272727272727,3.6535737731240014,0.5949355532904473,0.4545454545454545
10,random,0,3,0.7777777777777778,0.5555555555555556,6.894124269485474,2.009569421340305,0.4444444444444444
10,random,0,4,0.8333333333333334,0.6666666666666667,2.914613385995229,0.2723488841571208,0.6666666666666666
9,rl,1,0,0.8421052631578947,0.0,4.308216596904554,0.0,0.6842105263157895
9,rl,1,1,0.8888888888888888,0.0555555555555555,5.732915666368273,0.3306934638540139,0.2777777777777778
9,rl,1,2,0.7894736842105263,-0.0624999999999999,4.62946185312773,0.0745657162302355,0.3157894736842105
9,rl,1,3,0.8421052631578947,0.0,4.545023253089504,0.0549662838110541,0.4736842105263157
9,rl,1,4,0.7777777777777778,-0.0763888888888888,4.028710126876831,-0.0648775342977295,0.3888888888888889
12,random,0,0,0.9411764705882352,0.0,4.331199070986579,0.0,0.5294117647058824
12,random,0,1,0.9411764705882352,0.0,4.700005475212546,0.0851511090073166,0.4117647058823529
12,random,0,2,0.8888888888888888,-0.0555555555555555,4.806216531329685,0.1096734305114506,0.5
12,random,0,3,1.0,0.0625,4.426932907104492,0.022103310087778,0.55
12,random,0,4,0.95,0.0093749999999999,4.528786718845367,0.0456196181751075,0.3
13,rl,0,0,1.0,0.0,6.886950822976919,0.0,0.6153846153846154
13,rl,0,1,1.0,0.0,5.368942009078132,-0.2204181288523591,0.2777777777777778
13,rl,0,2,1.0,0.0,5.341684460639954,-0.2243759832263498,0.5
13,rl,0,3,1.0,0.0,5.403079321509914,-0.2154613180213757,0.3684210526315789
13,rl,0,4,1.0,0.0,5.215435530010023,-0.2427075981710546,0.4736842105263157
14,random,1,0,0.8421052631578947,0.0,4.163707720605951,0.0,0.4736842105263157
14,random,1,1,0.8,-0.0499999999999998,4.545927023887634,0.0917978227410396,0.4
14,random,1,2,0.8,-0.0499999999999998,4.918947958946228,0.1813864682678463,0.55
14,random,1,3,0.85,0.009375,4.554212331771851,0.0937877097456469,0.55
14,random,1,4,0.85,0.009375,4.964672935009003,0.1923682612108245,0.35
15,rl,1,0,0.9090909090909092,0.0,5.80504677512429,0.0,0.2727272727272727
15,rl,1,1,0.8461538461538461,-0.0692307692307692,6.208403422282292,0.0694837893273248,0.3846153846153846
15,rl,1,2,0.75,-0.1749999999999999,5.685746928056081,-0.0205510569836286,0.3333333333333333
15,rl,1,3,0.9230769230769232,0.0153846153846154,5.82377815246582,0.0032267401223703,0.3846153846153846
15,rl,1,4,0.9333333333333332,0.0266666666666667,5.499112780888876,-0.0527013831389608,0.3333333333333333
16,random,1,0,1.0,0.0,5.606454799049779,0.0,0.4210526315789473
16,random,1,1,0.95,-0.05,4.572521197795868,-0.1844184316672185,0.35
16,random,1,2,1.0,0.0,5.127573741109748,-0.0854160204807492,0.5789473684210527
16,random,1,3,0.9,-0.0999999999999999,6.248531532287598,0.1145245536174915,0.45
16,random,1,4,1.0,0.0,4.871291041374207,-0.1311280985980967,0.3888888888888889
17,rl,1,0,0.8,0.0,4.411985838413239,0.0,0.45
17,rl,1,1,0.9,0.1249999999999999,5.269304585456848,0.194315842897615,0.4
17,rl,1,2,0.7894736842105263,-0.0131578947368421,4.532152389225207,0.0272363863378096,0.3684210526315789
17,rl,1,3,0.95,0.1874999999999999,4.738710486888886,0.0740538751577572,0.5
17,rl,1,4,0.7894736842105263,-0.0131578947368421,4.770896623009129,0.0813490336870554,0.5789473684210527
18,rl,1,0,1.0,0.0,3.1817103185151754,0.0,0.5789473684210527
18,rl,1,1,0.9473684210526316,-0.0526315789473684,3.3185478135159143,0.0430075278080619,0.5263157894736842
18,rl,1,2,0.9411764705882352,-0.0588235294117647,3.458975006552304,0.0871432846741751,0.2941176470588235
18,rl,1,3,0.8888888888888888,-0.1111111111111111,4.609721170531379,0.4488186255380472,0.5
18,rl,1,4,0.8947368421052632,-0.1052631578947368,3.5207511374824927,0.1065592983102054,0.2631578947368421
19,random,1,0,1.0,0.0,6.168696363766988,0.0,0.3333333333333333
19,random,1,1,1.0,0.0,5.4908246248960495,-0.1098889779779966,0.75
19,random,1,2,1.0,0.0,4.915302607748243,-0.2031861648079797,0.6666666666666666
19,random,1,3,1.0,0.0,5.1205847388819645,-0.1699081237068672,0.5263157894736842
19,random,1,4,0.8947368421052632,-0.1052631578947368,4.426566889411525,-0.2824145283901785,0.5263157894736842
20,random,0,0,0.9444444444444444,0.0,4.1855485174391,0.0,0.1666666666666666
20,random,0,1,1.0,0.0588235294117647,3.389660316355088,-0.1901514694592457,0.5882352941176471
20,random,0,2,0.9375,-0.0073529411764705,3.547613248229027,-0.1524137795923555,0.8125
20,random,0,3,0.9444444444444444,0.0,4.35860276222229,0.0413456549511154,0.5555555555555556
20,random,0,4,0.9411764705882352,-0.0034602076124567,3.205748810487635,-0.2340911120416181,0.5294117647058824
21,rl,1,0,0.9411764705882352,0.0,4.292114650501924,0.0,0.5294117647058824
21,rl,1,1,1.0,0.0625,5.470013538996379,0.2744332303324446,0.4
21,rl,1,2,0.9285714285714286,-0.013392857142857,5.097780057362148,0.1877082679434037,0.4285714285714285
21,rl,1,3,0.8,-0.1499999999999999,3.8260859131813048,-0.1085778864891508,0.45
21,rl,1,4,1.0,0.0625,4.804303842432359,0.1193325979469207,0.5294117647058824
22,rl,1,0,0.9090909090909092,0.0,4.982704422690651,0.0,0.8181818181818182
22,rl,1,1,0.9411764705882352,0.0352941176470588,5.456172382130342,0.0950222849430066,0.2941176470588235
22,rl,1,2,0.9411764705882352,0.0352941176470588,5.090197955860811,0.021573331277819,0.2941176470588235
22,rl,1,3,1.0,0.1,5.4219069480896,0.0881454102312132,0.5294117647058824
22,rl,1,4,0.9444444444444444,0.0388888888888888,4.6597311231825085,-0.0648188758773971,0.5
23,rl,1,0,1.0,0.0,7.495432655016581,0.0,0.5
23,rl,1,1,1.0,0.0,6.222954607009887,-0.169767124404092,0.4
23,rl,1,2,1.0,0.0,6.93501325754019,-0.074768118569021,0.1538461538461538
23,rl,1,3,1.0,0.0,5.124504947662354,-0.3163163244175639,0.1
23,rl,1,4,1.0,0.0,5.925518729469993,-0.2094494070993845,0.5454545454545454
24,rl,0,0,0.8333333333333334,0.0,6.376953303813934,0.0,0.4166666666666667
24,rl,0,1,0.75,-0.1,7.512721757094066,0.1781051858417796,0.5
24,rl,0,2,0.75,-0.1,7.425680935382843,0.1644559057601511,0.3333333333333333
24,rl,0,3,0.5384615384615384,-0.3538461538461539,6.966879881345308,0.0925091574966607,0.3846153846153846
24,rl,0,4,0.5882352941176471,-0.2941176470588235,5.905225459267111,-0.0739738590001422,0.2352941176470588
25,rl,1,0,1.0,0.0,8.22396125793457,0.0,0.5
25,rl,1,1,0.9090909090909092,-0.0909090909090909,8.629172000018032,0.0492719663158079,0.2727272727272727
25,rl,1,2,1.0,0.0,7.127877025043263,-0.1332793526761562,0.5882352941176471
25,rl,1,3,0.9,-0.0999999999999999,7.592347717285156,-0.0768016191759204,0.4
25,rl,1,4,1.0,0.0,7.75905339717865,-0.056530891400707,0.6
26,random,1,0,0.9166666666666666,0.0,5.843015273412068,0.0,0.6666666666666666
26,random,1,1,1.0,0.0909090909090909,7.610522667566935,0.3024991911620863,0.3333333333333333
26,random,1,2,1.0,0.0909090909090909,5.218897067583525,-0.1068144060256898,0.4615384615384615
26,random,1,3,0.8461538461538461,-0.0769230769230769,5.8540696914379415,0.0018919029830667,0.6153846153846154
26,random,1,4,1.0,0.0909090909090909,6.463371562957764,0.1061705746977166,0.7
27,rl,0,0,1.0,0.0,8.570661323411125,0.0,0.6428571428571429
27,rl,0,1,1.0,0.0,8.619720876216888,0.0057241268735885,0.5833333333333334
27,rl,0,2,1.0,0.0,8.041884024937948,-0.0616962073893643,0.2
27,rl,0,3,0.75,-0.25,8.729675908883413,0.0185533623919934,0.5
27,rl,0,4,1.0,0.0,8.878683924674988,0.0359391871456273,0.4166666666666667
28,rl,1,0,0.9090909090909092,0.0,5.203709168867632,0.0,0.6363636363636364
28,rl,1,1,1.0,0.1,5.378320387431553,0.0335551455505185,0.5714285714285714
28,rl,1,2,0.9,-0.0099999999999999,5.401994323730468,0.0381045804883029,0.3
28,rl,1,3,0.9090909090909092,0.0,6.757709546522661,0.2986332108935273,0.5454545454545454
28,rl,1,4,0.8888888888888888,-0.0222222222222222,6.700558265050252,0.2876504138889734,0.2222222222222222
29,random,0,0,1.0,0.0,6.863775014877319,0.0,0.6470588235294118
29,random,0,1,0.9375,-0.0625,6.78432297706604,-0.0115755597523325,0.625
29,random,0,2,0.9333333333333332,-0.0666666666666666,7.06840615272522,0.0298132059113767,0.3333333333333333
29,random,0,3,1.0,0.0,6.639683400883394,-0.032648449797408,0.5882352941176471
29,random,0,4,1.0,0.0,6.007509834626141,-0.1247513472389774,0.5882352941176471
30,random,0,0,1.0,0.0,5.710152539339933,0.0,0.3636363636363636
30,random,0,1,0.9230769230769232,-0.0769230769230768,6.572574633818406,0.1510331096300565,0.6153846153846154
30,random,0,2,0.8888888888888888,-0.1111111111111111,4.854644934336345,-0.1498221981128512,0.5
30,random,0,3,0.8125,-0.1875,4.467917785048485,-0.2175484360064126,0.5
30,random,0,4,0.9375,-0.0625,4.780556723475456,-0.1627970197748751,0.375
31,random,1,0,0.95,0.0,3.345547008514404,0.0,0.3
31,random,1,1,0.75,-0.2105263157894736,3.0431729316711427,-0.0903810575890043,0.6
31,random,1,2,0.85,-0.1052631578947368,3.606031286716461,0.0778599964487497,0.3
31,random,1,3,0.9,-0.0526315789473683,3.1013340592384337,-0.0729964184196035,0.5
31,random,1,4,0.75,-0.2105263157894736,3.290049207210541,-0.0165885582126395,0.45
32,random,1,0,1.0,0.0,3.5547209664394983,0.0,0.5263157894736842
32,random,1,1,0.9,-0.0999999999999999,3.820744252204895,0.0748366153847098,0.55
32,random,1,2,1.0,0.0,3.938899993896485,0.1080757198902702,0.45
32,random,1,3,0.95,-0.05,2.9715508580207826,-0.1640551013495819,0.4
32,random,1,4,1.0,0.0,3.6339354640559143,0.0222843082099239,0.631578947368421
33,random,1,0,0.9411764705882352,0.0,5.41455205749063,0.0,0.5294117647058824
33,random,1,1,0.9411764705882352,0.0,4.915298111298505,-0.0922059555234018,0.5882352941176471
33,random,1,2,1.0,0.0625,6.123035303751627,0.1308479886680309,0.3333333333333333
33,random,1,3,0.9473684210526316,0.006578947368421,5.707971246618974,0.0541908519879166,0.631578947368421
33,random,1,4,1.0,0.0625,5.231886055734423,-0.033736124395277,0.5555555555555556
34,random,0,0,0.8823529411764706,0.0,3.859501852708704,0.0,0.4117647058823529
34,random,0,1,1.0,0.1333333333333333,2.7998028653008595,-0.2745688505536327,0.5
34,random,0,2,1.0,0.1333333333333333,3.743967072168986,-0.02993515353766,0.6
34,random,0,3,1.0,0.1333333333333333,3.9841243028640743,0.0322897759636795,0.5
34,random,0,4,0.9473684210526316,0.0736842105263157,3.540556217494764,-0.0826390677828268,0.5263157894736842
35,rl,0,0,1.0,0.0,4.983200633525849,0.0,0.65
35,rl,0,1,1.0,0.0,5.3263633251190186,0.0688639123386782,0.25
35,rl,0,2,0.95,-0.05,4.778962898254394,-0.0409852523090057,0.25
35,rl,0,3,1.0,0.0,5.259145474433899,0.0553750212366636,0.45
35,rl,0,4,1.0,0.0,5.326069688796997,0.0688049870929142,0.3
36,rl,0,0,1.0,0.0,6.1324573092990455,0.0,0.7777777777777778
36,rl,0,1,1.0,0.0,6.538136058383518,0.0661527229010327,0.4444444444444444
36,rl,0,2,1.0,0.0,6.469810533523559,0.0550111003158494,0.1
36,rl,0,3,1.0,0.0,6.555843790372212,0.0690402655443126,0.4166666666666667
36,rl,0,4,1.0,0.0,6.6947171158260765,0.0916858900386374,0.5555555555555556
37,random,0,0,0.8888888888888888,0.0,4.507014221615261,0.0,0.6111111111111112
37,random,0,1,0.95,0.06875,4.011196553707123,-0.1100102292844425,0.6
37,random,0,2,0.95,0.06875,4.856896126270295,0.0776305304245611,0.4
37,random,0,3,1.0,0.125,4.333546721935273,-0.0384883408727784,0.4
37,random,0,4,0.8888888888888888,0.0,4.787502712673611,0.0622337710214337,0.5555555555555556
38,rl,0,0,0.9333333333333332,0.0,5.95378934542338,0.0,0.7333333333333333
38,rl,0,1,1.0,0.0714285714285714,5.079654804865519,-0.1468198637611859,0.4666666666666667
38,rl,0,2,0.9444444444444444,0.0119047619047618,4.486295302708943,-0.246480679374806,0.3888888888888889
38,rl,0,3,1.0,0.0714285714285714,4.352132469415665,-0.2690147035919054,0.1875
38,rl,0,4,0.8571428571428571,-0.0816326530612245,3.474336658205305,-0.4164495153198536,0.5714285714285714
39,rl,0,0,0.95,0.0,4.121539914608002,0.0,0.75
39,rl,0,1,0.95,0.0,3.848040246963501,-0.066358611905015,0.3
39,rl,0,2,0.95,0.0,3.4471641898155214,-0.1636222719576938,0.3
