user_id,group,order,accuracy_abs,accuracy_rela,resptime_abs,resptime_rela,attention_abs,attention_rela,anxiety_abs,anxiety_rela
0,random,1,-0.0350877192982456,-0.0404858299595141,-0.2357233207825331,-0.0435145326941517,-1.0,-0.1428571428571428,1.0,0.25
1,random,0,0.0183619935878753,0.0200063512226104,-0.1373436501685621,-0.0258754531330013,-1.0,-0.3333333333333333,1.0,0.2
2,rl,0,-0.0240963855421686,-0.0240963855421686,-0.5926652962206589,-0.0925628321639281,-1.0,-0.25,1.0,0.1666666666666666
3,random,1,0.0115248226950354,0.0121722846441947,-0.7617122138328583,-0.1483058487692155,1.0,0.1666666666666666,0.0,0.0
4,rl,1,0.0003092145949288,0.0003189792663476,-0.1999358754137379,-0.0316968091922342,3.0,1.5,-1.0,-0.1428571428571428
5,random,1,-0.0416281221091582,-0.0435203094777563,0.112836403112297,0.0223894202107526,1.0,0.25,2.0,0.4
6,rl,0,-0.0011128775834657,-0.0020086083213772,-0.4433618677818529,-0.1095427230553734,0.0,0.0,1.0,0.2
7,random,0,-0.0456730769230767,-0.0471464019851115,-0.271364252236518,-0.0720355979511861,0.0,0.0,1.0,0.5
8,rl,1,-0.0301613280336684,-0.0319148936170212,-0.0782908906941104,-0.0159461822137647,1.0,0.2,0.0,0.0
11,rl,0,-0.019570707070707,-0.019987105093488,-0.2254278893121561,-0.0454342795047838,0.0,0.0,0.0,0.0
10,random,0,0.1363636363636363,0.2571428571428571,0.962432946141058,0.4454206331215819,0.0,0.0,2.0,1.0
9,rl,1,-0.1312266842220757,-0.1368107984442917,-0.2964455560291181,-0.060005299182991,1.0,0.1666666666666666,4.0,2.0
12,random,0,-0.043478260869565,-0.0439560439560438,0.1150023652159655,0.0258953129000304,0.0,0.0,1.0,0.3333333333333333
13,rl,0,0.0104166666666666,0.0105263157894736,-0.4911836782254086,-0.0811840473640563,0.0,0.0,1.0,0.5
14,random,1,-0.1085592769803297,-0.1158778799228238,-0.2560536666983681,-0.0523600129140227,-1.0,-0.1428571428571428,1.0,0.1666666666666666
15,rl,1,-0.0694444444444444,-0.0735294117647058,0.0619855908056097,0.0108088150726105,1.0,0.2,1.0,1.0
16,random,1,0.0202963917525773,0.0213994565217391,-0.3472787874056307,-0.0615799853565368,0.0,0.0,-1.0,-0.1666666666666666
17,rl,1,-0.0697278911564625,-0.0760667903525045,-0.0632942844004862,-0.0131594311869063,0.0,0.0,4.0,2.0
18,rl,1,-0.0437120149602617,-0.044672718585762,-0.2298173317846821,-0.0598415003482353,0.0,0.0,0.0,0.0
19,random,1,0.0152777777777776,0.0158730158730157,0.1600018620491035,0.0316932375522517,2.0,1.0,0.0,0.0
20,random,0,0.0358413132694938,0.0390578413834227,0.1481679660024792,0.0411131434315442,0.0,0.0,-2.0,-0.5
21,rl,1,0.0416348940064054,0.0469879518072289,-0.1259249750026505,-0.0264580593047385,0.0,0.0,3.0,3.0
22,rl,1,-0.0388888888888888,-0.0393258426966291,-0.2040884673595426,-0.0382839918808564,-1.0,-0.1428571428571428,2.0,0.6666666666666666
23,rl,1,0.0833333333333333,0.0909090909090909,-0.1323138945632509,-0.0206294618853847,1.0,0.25,0.0,0.0
24,rl,0,-0.063944530046225,-0.0857438016528926,-0.9640179726179898,-0.1246653785613122,-1.0,-0.2,0.0,0.0
25,rl,1,-0.0180893159977387,-0.018390804597701,0.1104159637519099,0.0143769398516499,-2.0,-0.3333333333333333,2.0,0.6666666666666666
26,random,1,0.0281249999999999,0.0305084745762711,0.0813322258492315,0.0133643789558441,2.0,0.6666666666666666,-1.0,-0.2
27,rl,0,-0.0138957816377169,-0.0143589743589742,-0.4295028178330984,-0.0478639039669468,2.0,0.4,-1.0,-0.1428571428571428
28,rl,1,0.0462962962962962,0.0531914893617021,-0.5778805072660802,-0.0891083057462871,2.0,0.5,1.0,0.2
29,random,0,-0.011403230915426,-0.0115532734274711,-0.3644316325581904,-0.051867824860463,-2.0,-0.6666666666666666,-4.0,-0.8
30,random,0,-0.0412612612612613,-0.0435858393604873,-0.1845865683083065,-0.0343828553400657,-3.0,-0.5,-1.0,-0.25
31,random,1,-0.0987755102040816,-0.1052173913043477,-0.2297915336550495,-0.0655233321664328,1.0,0.1666666666666666,-1.0,-0.1666666666666666
32,random,1,-0.0104102246959389,-0.0106248685041026,-0.0703159597725551,-0.0192431633357583,1.0,0.2,1.0,0.3333333333333333
33,random,1,-0.0022750252780584,-0.0023517115233862,0.080063062984613,0.0148651296242409,-1.0,-0.1666666666666666,3.0,1.0
34,random,0,-0.036144578313253,-0.036144578313253,-0.0941988854363584,-0.0254036036000224,0.0,0.0,1.0,0.5
35,rl,0,-0.01,-0.01,0.3397604727745058,0.0708574197987242,-3.0,-0.4285714285714285,-2.0,-0.2857142857142857
36,rl,0,0.0151515151515152,0.0153846153846154,-0.0024261187828837,-0.0003741007187601,-1.0,-0.2,-1.0,-0.2
37,random,0,-0.0287921348314608,-0.0297965116279071,-0.5862622703338376,-0.1154212784575952,0.0,0.0,2.0,0.4
38,rl,0,0.0222473604826546,0.024013024013024,0.1029178349141082,0.0225176469839178,0.0,0.0,0.0,0.0
39,rl,0,-0.0303030303030303,-0.0303030303030303,-0.3582219035007496,-0.0866223785193173,-1.0,-0.1666666666666666,1.0,0.5
40,random,1,0.0092784932834786,0.0098442550690565,0.1495473809130647,0.0257417475088094,-1.0,-0.2,0.0,0.0
41,rl,1,-0.0729166666666666,-0.0795454545454545,0.0053957998752593,0.0013083765790465,2.0,0.6666666666666666,0.0,0.0
42,rl,1,-0.1658064516129032,-0.1763898421413864,-0.6741796045918615,-0.0994262526907914,2.0,0.6666666666666666,1.0,0.25
43,random,0,-0.1865849506298945,-0.1986226893802103,-0.1791116719267007,-0.0340210823627046,0.0,0.0,2.0,0.5
44,random,1,0.0199873763938566,0.021290900941282,0.3521622918466258,0.0855068377024099,0.0,0.0,-1.0,-0.25
45,random,0,0.0115560640732267,0.011945594322886,0.0149239232120033,0.0030124818923628,-1.0,-0.1666666666666666,1.0,0.2
46,random,1,-0.0607350963693411,-0.0620847651775487,-0.0510754711635446,-0.0089752763282007,1.0,0.25,0.0,0.0
47,rl,0,0.0133160956690367,0.0138032699008308,-1.0629326023590036,-0.1868846221899867,0.0,0.0,1.0,0.25
48,rl,0,0.1069651741293532,0.1283582089552239,0.0949071061821449,0.0141095787644996,-1.0,-0.1666666666666666,0.0,0.0
49,random,0,0.0,0.0,-0.6214193272590629,-0.124380491591385,0.0,0.0,3.0,1.5
50,random,0,0.0191606789544934,0.020618556701031,-0.0580050538607359,-0.0153238232553661,-1.0,-0.1666666666666666,-3.0,-0.6
51,random,1,-0.00204765450484,-0.0020739064856712,-0.163081675435035,-0.0274222843698365,-1.0,-0.1666666666666666,1.0,0.3333333333333333
52,random,1,-0.0047958344751988,-0.0050813008130082,-0.343348673383776,-0.057963183919636,0.0,0.0,0.0,0.0
53,random,0,0.0136986301369863,0.0138888888888889,-0.0602151528341039,-0.0082906078467865,-1.0,-0.25,3.0,1.5
54,rl,0,-0.0425531914893616,-0.0425531914893616,-0.5599453262230334,-0.1044501879210006,-2.0,-0.3333333333333333,1.0,0.2
55,rl,0,-0.009997938569367,-0.0101010101010099,-0.4674453209955844,-0.1007532289559177,0.0,0.0,2.0,0.6666666666666666
56,random,0,0.0306545153272578,0.0325704225352114,-0.2826676490194257,-0.0477243064192485,-1.0,-0.1428571428571428,-2.0,-0.2857142857142857
57,rl,0,-0.0806977911646585,-0.0893055555555555,0.0197838606185696,0.0037651743730367,-2.0,-0.5,0.0,0.0
58,random,1,-0.0052959089103665,-0.0056038105912018,0.2762928213265718,0.0539792452403299,-1.0,-0.1666666666666666,0.0,0.0
59,random,0,0.0021680216802166,0.002222222222222,0.4173622143623952,0.0811869639137229,-1.0,-0.25,1.0,0.5
60,rl,0,0.0051405622489958,0.0054301713897843,0.5009223108023519,0.0951094712102347,-1.0,-0.1666666666666666,1.0,0.25
61,random,1,-0.0816532258064516,-0.0862926136363636,0.2879142575366518,0.0761904048004143,1.0,0.2,1.0,0.2
62,rl,0,-0.1202456886369005,-0.1426169795460913,-1.5240761889595813,-0.2094120734679611,-4.0,-0.6666666666666666,1.0,0.5
63,rl,0,-0.0190721649484536,-0.0196808510638298,-0.8651544867102632,-0.2169194023753102,0.0,0.0,3.0,1.5
64,random,1,-0.0703978561121417,-0.0726209463051567,-0.0390391436539294,-0.0082212889798286,2.0,0.6666666666666666,-2.0,-0.3333333333333333
65,random,0,0.010094501718213,0.0104166666666666,-0.2747260974496095,-0.0608915812867946,0.0,0.0,0.0,0.0
66,rl,1,-0.0306122448979592,-0.0306122448979592,-0.7719661362066335,-0.1472296313373186,0.0,0.0,-2.0,-0.3333333333333333
67,random,0,-0.011646136618141,-0.0128649183572488,-0.5531789720125184,-0.1022407947494433,1.0,0.25,1.0,0.3333333333333333
68,rl,1,-0.0171277997364953,-0.0179063360881542,-0.3643268725303477,-0.0596107227113735,-2.0,-0.3333333333333333,1.0,0.5
69,rl,0,0.0102040816326531,0.0105263157894738,0.0078206475900142,0.0015549680316147,0.0,0.0,-1.0,-0.25
70,rl,1,0.0110725141120275,0.0113132209405499,-0.1681350178165743,-0.0386926272836054,1.0,0.2,2.0,2.0
71,rl,0,0.0588459099556119,0.0678362573099414,-0.8101732570004749,-0.1390695408536849,1.0,0.2,1.0,0.1666666666666666
72,rl,1,0.0131107126848946,0.0138642019196586,0.0119984063905542,0.0040771310229245,1.0,0.1666666666666666,0.0,0.0
73,random,0,-0.0965121834687051,-0.1097826086956521,-0.217088194395786,-0.046338504968215,-1.0,-0.1428571428571428,2.0,1.0
74,rl,1,0.0120259019426457,0.0128649183572489,-0.1688683680866072,-0.0421828215371879,1.0,0.25,0.0,0.0
75,random,1,-0.01,-0.0104166666666666,-0.0537672734260556,-0.0130862160773413,0.0,0.0,1.0,1.0
76,random,0,-0.056711915535445,-0.0582043343653252,-0.3961202644474726,-0.0658247056206246,-1.0,-0.1428571428571428,2.0,0.6666666666666666
77,rl,1,-0.0574712643678161,-0.0602409638554217,-0.1522921693736112,-0.0347163069570634,1.0,0.25,1.0,0.3333333333333333
78,rl,1,-0.0449260042283298,-0.045995670995671,-0.1259370291837935,-0.0269809035806693,-1.0,-0.1666666666666666,4.0,2.0
